iter	Passed	Remaining
0	141	14037
1	145	7133
2	151	4899
3	157	3790
4	159	3039
5	165	2597
6	171	2279
7	175	2015
8	181	1839
9	187	1684
10	192	1555
11	196	1442
12	201	1347
13	204	1256
14	209	1184
15	213	1121
16	218	1065
17	220	1006
18	225	962
19	228	914
20	233	878
21	237	843
22	243	813
23	246	779
24	248	746
25	253	722
26	258	698
27	262	675
28	267	654
29	271	634
30	276	614
31	278	591
32	280	569
33	283	550
34	288	535
35	290	516
36	295	502
37	297	485
38	302	472
39	306	459
40	308	443
41	312	432
42	317	420
43	321	409
44	326	399
45	329	386
46	333	376
47	338	366
48	341	354
49	345	345
50	347	334
51	352	325
52	356	316
53	361	307
54	365	299
55	367	288
56	371	280
57	374	271
58	378	263
59	383	255
60	387	248
61	392	240
62	396	233
63	401	225
64	404	218
65	409	210
66	413	203
67	418	196
68	420	188
69	424	182
70	429	175
71	433	168
72	438	162
73	441	155
74	445	148
75	450	142
76	453	135
77	457	129
78	461	122
79	466	116
80	468	109
81	473	103
82	477	97
83	481	91
84	486	85
85	491	80
86	495	74
87	500	68
88	504	62
89	508	56
90	512	50
91	517	44
92	521	39
93	526	33
94	530	27
95	534	22
96	539	16
97	543	11
98	547	5
99	552	0
